class,support,accuracy,mean_top1_prob,median_top1_prob,mean_true_class_prob,median_true_class_prob,mean_margin,median_margin,mean_entropy,median_entropy
0,10,1.0,0.995217502117157,0.9986453056335449,0.995217502117157,0.9986453056335449,0.9906398057937622,0.9974747896194458,0.027194807305932045,0.011112882755696774
1,10,1.0,0.9998610615730286,0.9998961687088013,0.9998610615730286,0.9998961687088013,0.9998054504394531,0.9998645782470703,0.0016526859253644943,0.001306302030570805
2,10,1.0,0.9998644590377808,0.9998568892478943,0.9998644590377808,0.9998568892478943,0.9998245239257812,0.999817967414856,0.0017167789628729224,0.0018119803862646222
3,10,1.0,0.9998483657836914,0.999862015247345,0.9998483657836914,0.999862015247345,0.9998234510421753,0.9998412728309631,0.0019596607889980078,0.001796820550225675
4,10,1.0,0.9999260902404785,0.9999407529830933,0.9999260902404785,0.9999407529830933,0.9999133348464966,0.9999295473098755,0.0009997913148254156,0.0008155415998771787
5,10,1.0,0.9998787641525269,0.999875009059906,0.9998787641525269,0.999875009059906,0.999847412109375,0.9998444318771362,0.001560388715006411,0.0016093103913590312
6,10,1.0,0.9998343586921692,0.9998418092727661,0.9998343586921692,0.9998418092727661,0.9998120069503784,0.9998221397399902,0.002108993474394083,0.002038533566519618
7,10,1.0,0.999900221824646,0.9999424815177917,0.999900221824646,0.9999424815177917,0.9998779296875,0.9999315142631531,0.0012714258627966046,0.0007931296713650227
8,10,1.0,0.9998821020126343,0.9998862147331238,0.9998821020126343,0.9998862147331238,0.999848484992981,0.9998534321784973,0.0014592909719794989,0.0014146321918815374
9,10,1.0,0.9997258186340332,0.9997458457946777,0.9997258186340332,0.9997458457946777,0.9996438026428223,0.9996770620346069,0.0031789629720151424,0.0029984288848936558
10,10,1.0,0.9998650550842285,0.9998725652694702,0.9998650550842285,0.9998725652694702,0.9998373985290527,0.9998507499694824,0.0017604358727112412,0.0016776402480900288
11,10,1.0,0.9999052882194519,0.9999136924743652,0.9999052882194519,0.9999136924743652,0.999889075756073,0.9998993873596191,0.0012536951107904315,0.0011563480366021395
12,10,1.0,0.9999024271965027,0.9999692440032959,0.9999024271965027,0.9999692440032959,0.9998462796211243,0.9999537467956543,0.0010875811567530036,0.0004040973144583404
13,10,1.0,0.9998918771743774,0.9998950958251953,0.9998918771743774,0.9998950958251953,0.9998760223388672,0.999879777431488,0.0014280615141615272,0.0013889208203181624
14,10,1.0,0.9999439120292664,0.9999428987503052,0.9999439120292664,0.9999428987503052,0.9999344944953918,0.9999338388442993,0.0007679637637920678,0.0007802869658917189
15,10,1.0,0.9534395337104797,0.9997947216033936,0.9534395337104797,0.9997947216033936,0.9207914471626282,0.9996860027313232,0.1552194058895111,0.0022253168281167746
16,10,1.0,0.9997914433479309,0.9998015761375427,0.9997914433479309,0.9998015761375427,0.9997585415840149,0.9997748136520386,0.0026557291857898235,0.0025503854267299175
17,10,1.0,0.999853789806366,0.9998648762702942,0.999853789806366,0.9998648762702942,0.9998285174369812,0.9998407959938049,0.0018538316944614053,0.0017260045278817415
18,10,1.0,0.9996871948242188,0.9999184608459473,0.9996871948242188,0.9999184608459473,0.999576210975647,0.9998920559883118,0.003253770526498556,0.001046876423060894
19,10,1.0,0.9999362230300903,0.9999356865882874,0.9999362230300903,0.9999356865882874,0.999904453754425,0.9999030828475952,0.0008170180954039097,0.0008235220448113978
20,10,1.0,0.9997394680976868,0.9998290538787842,0.9997394680976868,0.9998290538787842,0.9996650815010071,0.99976646900177,0.0030594575218856335,0.0020897681824862957
