class,support,embedding_spread_mean,embedding_spread_median,embedding_spread_p90,nearest_euclidean_class,nearest_euclidean_distance,nearest_cosine_class,nearest_cosine_distance,separability_euclidean
0,10,1.3735555410385132,1.1155734062194824,1.7035993814468375,3,20.082863463289833,46,0.38643897809016137,14.621078553624159
1,10,3.026562213897705,2.1179826259613037,6.9163733959198,28,20.153685286661222,32,0.4194374556713216,6.658936397909578
2,10,0.8142884969711304,0.7309995889663696,1.1711585521697998,40,19.2571241670274,40,0.47632439678469285,23.649019037671778
3,10,3.056303024291992,3.107694625854492,3.605334448814392,0,20.082863463289833,0,0.4363912994542325,6.570966067064678
4,10,1.2269108295440674,1.1218211650848389,1.7886984467506406,68,19.773066381174885,68,0.5002535903362201,16.116139743034758
5,10,1.2299892902374268,1.252166748046875,1.5087663173675536,20,18.312920149780627,20,0.4704751363657572,14.888682604907604
6,10,2.1439664363861084,1.9319965839385986,2.4682690620422356,51,19.378803170148522,14,0.456587857965559,9.03876238044735
7,10,1.3270505666732788,1.0716049671173096,1.6834724187850945,93,20.43648753037286,75,0.5110337849863232,15.399931278884225
8,10,0.5564768314361572,0.4689762592315674,0.9236952543258666,24,20.404276636683782,24,0.4812548806160327,36.66689336198303
9,10,1.9668878316879272,1.7580385208129883,3.0224859714508057,80,18.35864546381855,80,0.460578475353705,9.333854817772544
10,10,1.847604751586914,1.6859173774719238,2.620017623901367,71,19.204327557952336,71,0.49885646997219624,10.394175237673357
11,10,1.5211856365203857,1.0488615036010742,1.9199045896530138,25,20.20912644747296,25,0.5070704748777951,13.285115216904122
12,10,3.527742385864258,2.6044318675994873,8.039701080322265,60,21.075430429537676,46,0.34948343046417407,5.974197694816774
13,10,0.687247633934021,0.5318902730941772,1.0173941314220427,71,19.213793601029533,71,0.49852134527474967,27.95759876399101
14,10,0.5926841497421265,0.6028318405151367,0.7159959614276886,80,19.028644192789862,6,0.456587857965559,32.10587663103378
15,10,7.3054938316345215,6.122735977172852,11.737663459777831,98,17.031398617531764,98,0.3348984339925235,2.331313804384006
16,10,1.8340709209442139,1.3879565000534058,3.3650136709213254,65,19.931369843221667,65,0.5237734226753039,10.867284146766051
17,10,1.2372562885284424,1.2976350784301758,1.3901738047599792,21,19.3679607825291,21,0.48132644113943857,15.653960268462086
18,10,3.4845499992370605,3.2845988273620605,4.55295295715332,41,18.953800067754973,41,0.4347174188660078,5.439382437303207
19,10,1.411635398864746,1.192510962486267,2.125615954399109,95,19.931363369080167,95,0.46069313355664243,14.119342278543883
20,10,1.6646703481674194,1.4748222827911377,2.3473466396331784,68,17.7117065865325,68,0.41724260314204376,10.639768171536625
21,10,2.4071872234344482,1.7230857610702515,4.233265924453734,17,19.3679607825291,50,0.47602356982494776,8.045888825754032
22,10,2.18757700920105,1.5618098974227905,3.642795515060424,23,0.9082884886586379,23,0.0010157684131503197,0.41520297792413
