class_a,class_b,euclidean_centroid_distance,cosine_centroid_distance
22,23,0.9082884886586379,0.0010157684131503197
84,94,1.4719932672282234,0.0020771698842594333
29,60,15.880104212057956,0.3250508550992499
29,80,16.365188308255544,0.43085708572550074
15,98,17.031398617531764,0.3348984339925235
20,68,17.7117065865325,0.41724260314204376
5,20,18.312920149780627,0.4704751363657572
9,80,18.35864546381855,0.460578475353705
29,51,18.397830367899452,0.5108987770054064
56,98,18.460114341838203,0.38761580592016065
70,93,18.613603513662593,0.47547624346466666
29,93,18.722058814056705,0.5245413984206008
27,41,18.7464392169291,0.43377439501202364
20,70,18.847630033530024,0.49547353687220475
78,80,18.849887381157775,0.5239265210720953
20,83,18.864315113929973,0.4748823685569775
20,96,18.897430627318254,0.4660282177540248
18,41,18.953800067754973,0.4347174188660078
43,65,18.97520703529983,0.4813351570629756
41,80,18.977845604859873,0.519497437827546
14,80,19.028644192789862,0.46332352571904534
25,58,19.043065885001806,0.46982888895566477
51,80,19.06660934206456,0.5426018909033863
18,40,19.09761848576043,0.44206712289475447
9,49,19.098491901301575,0.46244349287168807
10,71,19.204327557952336,0.49885646997219624
65,96,19.21053670046014,0.4682322832079904
13,71,19.213793601029533,0.49852134527474967
71,83,19.229824814155798,0.4834279520982152
2,40,19.2571241670274,0.47632439678469285
29,96,19.275868922747577,0.5091155376778297
32,74,19.29969055801839,0.3881069122061902
49,80,19.315420950152696,0.5362509124097716
40,92,19.336169486754116,0.47473305856306225
61,80,19.341624502160126,0.5373546729335478
64,93,19.342973126002082,0.4923659235486211
80,96,19.351580507472782,0.5082992823689996
17,21,19.3679607825291,0.48132644113943857
6,51,19.378803170148522,0.5047534224149117
81,83,19.41798019167184,0.46889147378645335
57,80,19.459495644177636,0.5596665634257182
92,93,19.49199530578383,0.49118736851653444
65,73,19.521722355033283,0.5160132849664616
5,26,19.52377454178511,0.48036313681732956
10,51,19.524557542537064,0.5226754091206391
25,78,19.58030653352938,0.5243519589094637
70,78,19.586451409998176,0.5248841439461104
20,33,19.591766595578456,0.4843011809336848
15,62,19.593118087769284,0.462888997452788
5,61,19.61361983501761,0.5171560564439439
14,73,19.618061303703556,0.4668877392289903
6,14,19.63232388376716,0.456587857965559
21,86,19.634045124911903,0.5202135698243884
40,80,19.638266707675925,0.5577769962724337
27,28,19.640424769269497,0.43370973779660194
54,58,19.655999652294042,0.46783977819906375
21,50,19.691861099243464,0.47602356982494776
44,60,19.696710628257172,0.4526707970799294
81,93,19.697230586687013,0.5069505151548568
42,65,19.72605290442608,0.49756730806128235
48,68,19.74494894231864,0.4700797623590609
4,68,19.773066381174885,0.5002535903362201
73,93,19.784516185490386,0.5387127682577126
66,86,19.80285675427653,0.5092840781698389
29,73,19.80881047161688,0.5808087617497261
48,55,19.810403492639477,0.4584057679665201
68,77,19.811643758302946,0.46966641736719783
20,69,19.82268875415953,0.5364669173072953
18,80,19.823906443295993,0.508786438133023
47,71,19.83420323721612,0.5013717006121716
21,47,19.853200389594434,0.486198311194588
69,86,19.86682386910789,0.5385706137521885
22,40,19.928918735800462,0.5105071268108116
19,95,19.931363369080167,0.46069313355664243
16,65,19.931369843221667,0.5237734226753039
58,61,19.931406009302272,0.508686635865167
18,28,19.93808991549988,0.4398342220733097
25,86,19.948464284930285,0.5545589522853239
69,88,19.953401716262402,0.501247911200443
70,80,19.955178097615413,0.5810243918149068
15,42,19.95951216891319,0.4965781301865422
29,70,19.969033395621214,0.588409577370796
61,69,19.9731744799236,0.5229415396244311
35,64,19.973974202670245,0.5139583993048156
29,71,19.99064941895442,0.5940324185082055
10,21,19.994433094039973,0.5213349978104687
48,49,20.00951848580726,0.49595054707796693
43,79,20.020042907857444,0.5136744053358613
23,40,20.03814071258518,0.5144095745793269
34,65,20.04653086054069,0.47388530729551326
35,71,20.079583691948887,0.5440041891890134
0,3,20.082863463289833,0.4363912994542325
21,69,20.107800361706527,0.5211470131064269
39,69,20.109246031614063,0.5063802660112185
20,73,20.109357930146356,0.5657388684321926
35,93,20.110692216231385,0.5491282506762806
29,57,20.120397813372726,0.6054199979534368
29,43,20.122263145136237,0.5905749280580479
21,92,20.13070299259233,0.5039954250756157
10,83,20.134311974786936,0.5231100375782131
