0.0024	1
0.0025	1
0.0048	-1
0.0048	-1
0.0048	-1
0.0048	-1
0.0048	-1
0.0048	-1
0.0050	-1
0.0050	-1
0.0050	-1
0.0050	-1
0.0050	-1
0.0050	-1
0.0054	1
0.0055	1
0.0055	1
0.0056	1
0.0074	-1
0.0074	-1
0.0074	-1
0.0074	-1
0.0074	-1
0.0074	-1
0.0082	-1
0.0082	-1
0.0082	-1
0.0082	-1
0.0082	-1
0.0082	-1
0.0084	-1
0.0084	-1
0.0084	-1
0.0084	-1
0.0084	-1
0.0084	-1
0.0085	-1
0.0085	-1
0.0085	-1
0.0085	-1
0.0085	-1
0.0085	-1
0.0088	1
0.0088	1
0.0092	1
0.0092	1
0.0095	1
0.0095	1
0.0096	1
0.0096	1
0.0125	-1
0.0125	-1
0.0125	-1
0.0125	-1
0.0125	-1
0.0125	-1
0.0134	1
0.0134	1
0.0136	-1
0.0136	-1
0.0136	-1
0.0136	-1
0.0136	-1
0.0136	-1
0.0139	-1
0.0139	-1
0.0139	-1
0.0139	-1
0.0139	-1
0.0139	-1
0.0142	-1
0.0142	-1
0.0142	-1
0.0142	-1
0.0142	-1
0.0142	-1
0.0144	-1
0.0144	-1
0.0144	-1
0.0144	-1
0.0144	-1
0.0144	-1
0.0145	-1
0.0145	-1
0.0145	-1
0.0145	-1
0.0145	-1
0.0145	-1
0.0147	-1
0.0147	-1
0.0147	-1
0.0147	-1
0.0147	-1
0.0147	-1
0.0148	-1
0.0148	-1
0.0148	-1
0.0148	-1
0.0149	-1
0.0149	-1
0.0151	1
0.0152	1
0.0152	1
0.0152	1
0.0154	1
0.0155	1
0.0164	1
0.0166	-1
0.0166	-1
0.0167	-1
0.0167	-1
0.0167	-1
0.0167	-1
0.0170	1
0.0170	1
0.0171	1
0.0171	1
0.0171	1
0.0172	1
0.0172	1
0.0183	-1
0.0183	-1
0.0183	-1
0.0183	-1
0.0183	-1
0.0183	-1
0.0193	1
0.0193	1
0.0197	-1
0.0197	-1
0.0197	-1
0.0197	-1
0.0197	-1
0.0197	-1
0.0204	1
0.0206	1
0.0221	1
0.0221	1
0.0238	-1
0.0238	-1
0.0238	-1
0.0238	-1
0.0238	-1
0.0238	-1
0.0240	-1
0.0240	-1
0.0240	-1
0.0240	-1
0.0240	-1
0.0240	-1
0.0241	-1
0.0241	-1
0.0242	-1
0.0242	-1
0.0242	-1
0.0242	-1
0.0243	-1
0.0243	-1
0.0243	-1
0.0243	-1
0.0243	-1
0.0243	-1
0.0244	-1
0.0244	-1
0.0244	-1
0.0244	-1
0.0244	-1
0.0244	-1
0.0246	-1
0.0246	-1
0.0246	-1
0.0246	-1
0.0246	-1
0.0246	-1
0.0247	-1
0.0247	-1
0.0247	-1
0.0247	-1
0.0247	-1
0.0247	-1
